Model,Train R²,Val R²,Val RMSE,Val MAE,Train Time (s)
Random Forest,0.9978850210131817,0.9955350411078254,571.2357617078931,284.24560649221775,20.55
Linear Regression,0.9912366811823028,0.9934186544041542,693.52800734058,430.2411756455296,0.23
XGBoost,0.9991882452094735,0.9933458665751651,697.3525739928097,382.38619593565056,22.55
SVR,0.987217964385984,0.9881111205710801,932.1313553841787,575.943145122951,11.84
